id,serviceId,name,description,extent,extentType,uri,serviceAtLocationId
209ddb98-1b00-419a-a3d8-af38a5d031e5,334f7ce7-e443-4188-a0a0-6d352f826a1c,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, and Williamson Counties","Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, and Williamson Counties","[{""scope"":""county"",""county"":""Bastrop"",""state"":""TX""},{""scope"":""county"",""county"":""Blanco"",""state"":""TX""},{""scope"":""county"",""county"":""Burnet"",""state"":""TX""},{""scope"":""county"",""county"":""Caldwell"",""state"":""TX""},{""scope"":""county"",""county"":""Fayette"",""state"":""TX""},{""scope"":""county"",""county"":""Hays"",""state"":""TX""},{""scope"":""county"",""county"":""Lee"",""state"":""TX""},{""scope"":""county"",""county"":""Llano"",""state"":""TX""},{""scope"":""county"",""county"":""Travis"",""state"":""TX""},{""scope"":""county"",""county"":""Williamson"",""state"":""TX""}]",TEXT,,afa0e1f9-cf03-4b81-87e2-b3ee96450d8f
e2c95c9b-b2d7-43c8-950e-09b551c47e3d,12823b9b-4a93-43c3-9f03-5aead5cdcd34,Travis County,Travis County,"[{""scope"":""county"",""county"":""Travis"",""state"":""TX""}]",TEXT,,60457406-0f43-4fb7-885e-fb163bfb3397
77f8c629-f240-469f-95d7-c7f7908cadaa,fa6ecadd-97ad-4253-8df0-8e362fc605fd,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, and Williamson Counties","Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, and Williamson Counties","[{""scope"":""county"",""county"":""Williamson"",""state"":""TX""},{""scope"":""county"",""county"":""Travis"",""state"":""TX""},{""scope"":""county"",""county"":""Llano"",""state"":""TX""},{""scope"":""county"",""county"":""Lee"",""state"":""TX""},{""scope"":""county"",""county"":""Hays"",""state"":""TX""},{""scope"":""county"",""county"":""Fayette"",""state"":""TX""},{""scope"":""county"",""county"":""Caldwell"",""state"":""TX""},{""scope"":""county"",""county"":""Burnet"",""state"":""TX""},{""scope"":""county"",""county"":""Blanco"",""state"":""TX""},{""scope"":""county"",""county"":""Bastrop"",""state"":""TX""}]",TEXT,,4d4ab95f-e48c-42d1-a03c-dd8626681fd2
b39c326a-0124-4dfc-bea4-077f9fa89d11,27db0c6e-bef8-48b0-826c-b91ed7651ea6,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, and Williamson Counties","Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, and Williamson Counties","[{""scope"":""county"",""county"":""Bastrop"",""state"":""TX""},{""scope"":""county"",""county"":""Blanco"",""state"":""TX""},{""scope"":""county"",""county"":""Burnet"",""state"":""TX""},{""scope"":""county"",""county"":""Caldwell"",""state"":""TX""},{""scope"":""county"",""county"":""Fayette"",""state"":""TX""},{""scope"":""county"",""county"":""Hays"",""state"":""TX""},{""scope"":""county"",""county"":""Lee"",""state"":""TX""},{""scope"":""county"",""county"":""Llano"",""state"":""TX""},{""scope"":""county"",""county"":""Travis"",""state"":""TX""}]",TEXT,,b7e7aa79-2936-48e0-9119-f224804844e1
dcb6a550-8f63-4f8c-9976-67a6b5ba1938,e357cf82-1bad-4e04-8082-19759c022016,"Bastrop, Blanco, Burnet, Fayette, Hays, Lee, Llano, Travis, and Williamson Counties","Bastrop, Blanco, Burnet, Fayette, Hays, Lee, Llano, Travis, and Williamson Counties","[{""scope"":""county"",""county"":""Bastrop"",""state"":""TX""},{""scope"":""county"",""county"":""Blanco"",""state"":""TX""},{""scope"":""county"",""county"":""Burnet"",""state"":""TX""},{""scope"":""county"",""county"":""Caldwell"",""state"":""TX""},{""scope"":""county"",""county"":""Fayette"",""state"":""TX""},{""scope"":""county"",""county"":""Hays"",""state"":""TX""},{""scope"":""county"",""county"":""Lee"",""state"":""TX""},{""scope"":""county"",""county"":""Llano"",""state"":""TX""},{""scope"":""county"",""county"":""Travis"",""state"":""TX""},{""scope"":""county"",""county"":""Williamson"",""state"":""TX""}]",TEXT,,725956cd-79e1-4e4d-ba0f-84d646e7ea72
5d83666c-f2c0-4b1d-99e1-5e106a49bdd0,73bcc63c-9b51-4837-b559-fcfeb9563ef8,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,4d11888f-84eb-4fe8-8a11-f78fe031e544
008f6872-44e9-468b-91cd-9447db4c27f7,224f48be-8b9f-4505-b868-eac2532a0a45,City of Austin located in Travis County,City of Austin located in Travis County,"[{""scope"":""city"",""city"":""Austin"",""state"":""TX""}]",TEXT,,842c8fbe-5746-41a4-869f-d7fc1c9c28a9
16e12093-085b-4b98-b1f3-081d4beae7ea,52621fd4-ec30-42b1-8843-773fa357479e,City of Austin located in Travis County,City of Austin located in Travis County,"[{""scope"":""city"",""city"":""Austin"",""state"":""TX""}]",TEXT,,be078167-9f7f-475e-8bda-e41ec62d444d
f3ad6443-9562-4d3c-9208-f4a4ddcefcee,52621fd4-ec30-42b1-8843-773fa357479e,City of Austin located in Travis County,City of Austin located in Travis County,"[{""scope"":""city"",""city"":""Austin"",""state"":""TX""}]",TEXT,,b3924b17-459d-4f3a-ad0d-44133aad9c6e
71ffec0f-7033-41ab-9bb6-db24323acb72,c9c7cafc-a61b-4f8c-9627-8de0e6e14d17,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,2d07d558-f808-4934-9add-ea7d0851bb28
